Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
652,Alprak,Yelkanyurt,Yelkanyurt Shire,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,town,6920,589.25,249.74,41.64,-9.25,1736,45°F,Montreal (Canada),,,citadel,,,,,{t1:purpure;charges:[{charge:scorpion;t:argent;p:beh;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Alprak&population=6920&size=27&seed=5642600450652&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
653,Sigkan,Sigkan,Sigkan Barony,Onimydrait,Kingdom of Onimydrait,Yotunn (Giants),Witnesses of Elloragh,town,6131,1174.23,766.6,10.47,26.05,6644,55°F,Milan (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:fessDoubleCotissed;t:purpure;line:archedReversed}];charges:[{charge:raven;t:sable;p:e;t2:sable;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Sigkan&population=6131&size=26&seed=5642600450653&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
654,Qicroz,Nudh,Nudh Margrave,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,village,1948,398.12,80.24,51.86,-20.78,840,37°F,Tromsø (Norway),,,,,,,,{t1:azure;division:{division:perChevron;t:semy_of_annulet-argent-vert;line:straight};charges:[{charge:scrollClosed;t:or;p:dfbh;t2:or;divided:counter;size:0.5}];shield:urukHai},https://watabou.github.io/village-generator/?pop=1948&name=Qicroz&seed=5642600450654&width=1600&height=780&style=snow&tags=isolated%2Cno+square%2Cdense
655,Mankhangai,Denia,Denia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,city,11866,1359.66,120.37,49.44,37.24,472,41°F,Harbin (China),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:orle;t:azure}];charges:[{charge:crossHummetty;t:azure;p:e;size:1.1}];shield:easterling},https://watabou.github.io/city-generator/?name=Mankhangai&population=11866&size=33&seed=5642600450655&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
656,Uluovasi,Uluovasi,Uluovasi Land,Pudrock,Republic of Pudrock,Rohand (Human),Neverchism,village,1101,331.69,373.95,34.15,-24.79,328,57°F,Washington (D.C.),,,,,,,,{t1:purpure;division:{division:perCross;t:argent;line:straight};charges:[{charge:bugleHorn2;t:or;p:e;t2:or;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1101&name=Uluovasi&seed=5642600450656&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
657,Sadzirdis,Grinez,Grinez Landgrave,Onimydrait,Kingdom of Onimydrait,Yotunn (Giants),Old Yotunn (Giants) Beliefs,village,898,1460.93,753.48,11.26,43.35,554,79°F,Jakarta (Indonesia),,,,walls,,,,{t1:or;charges:[{charge:bee;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=898&name=Sadzirdis&seed=5642600450657&width=1000&height=488&style=default&tags=river%2Chighway%2Cfarmland%2Cno+orchards%2Cno+square%2Cpalisade%2Cdense
658,Talde,Bunkuc,Bunkuc Barony,Onimydrait,Kingdom of Onimydrait,Yotunn (Giants),Old Yotunn (Giants) Beliefs,village,930,1425.19,764.3,10.61,41.19,840,77°F,Miami (USA),,,,,,,,{t1:argent;ordinaries:[{ordinary:fess;t:purpure;line:engrailed}];charges:[{charge:spiral;t:argent;p:def;size:0.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=930&name=Talde&seed=5642600450658&width=1000&height=488&style=default&tags=confluence%2Cdead+end%2Cno+square%2Cdense
659,Bulghird,Kopje,Kopje Province,Sazyurt,Republic of Sazyurt,Uruk (Orkish),Uruk (Orkish) Pantheon,town,2221,1048.2,86.43,51.49,18.44,643,39°F,Reykjavik (Iceland),,,,,,,,{t1:purpure;charges:[{charge:annulet;t:or;p:def;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Bulghird&population=2221&size=18&seed=5642600450659&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
660,Movoorongor,Zalanjar,Zalanjar County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,town,4302,1278.96,229.46,42.86,32.37,948,46°F,Prague (Czechia),,,,,,,,{t1:argent;charges:[{charge:elephantHeadErased;t:gules;p:e;t2:gules;size:1.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Movoorongor&population=4302&size=22&seed=5642600450660&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
661,Zhat,Saqs,Saqs County,Toza,Tozan Empire,Arago (Arachnid),Arago (Arachnid) Druidism,town,8035,65.67,710.63,13.84,-40.84,5515,55°F,Milan (Italy),,,,,,,,{t1:azure;division:{division:perCross;t:or;line:invecked};charges:[{charge:inescutcheon;t:argent;p:jo;size:0.7};{charge:crossOccitan;t:gules;p:jo;size:0.35}];shield:horsehead2},https://watabou.github.io/city-generator/?name=Zhat&population=8035&size=28&seed=5642600450661&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
662,Churdere,Sadam,Sadam Margrave,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,town,3000,400.27,746.2,11.7,-20.65,3360,66°F,Marrakesh (Morocco),,,,,,,,{t1:azure;charges:[{charge:bugleHorn;t:argent;p:e;t2:argent;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Churdere&population=3000&size=20&seed=5642600450662&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
663,Kalbraz,Kopje,Kopje Province,Sazyurt,Republic of Sazyurt,Uruk (Orkish),Uruk (Orkish) Pantheon,town,5496,1023.49,104.51,50.4,16.95,472,39°F,Reykjavik (Iceland),,,,,,,,{t1:gules;division:{division:perFess;t:argent;line:firTrees};charges:[{charge:angel;t:or;p:k;t2:or;size:0.7};{charge:bridge;t:sable;p:n;size:0.7}];shield:urukHai},https://watabou.github.io/city-generator/?name=Kalbraz&population=5496&size=25&seed=5642600450663&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
664,Zragzag,Duleli,Duleli Shire,Bocyurt,Beylik of Bocyurt,Uruk (Orkish),Neverchism,town,3579,604,180.91,45.79,-8.36,2218,39°F,Reykjavik (Iceland),,,,,,,,{t1:argent;charges:[{charge:axe;t:gules;p:e;t2:gules;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Zragzag&population=3579&size=21&seed=5642600450664&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
665,Shumundi,Khathara,Khathara County,Toza,Tozan Empire,Khazadur (Dwarven),Neverchism,town,6105,248.16,542.33,23.99,-29.83,3573,55°F,Milan (Italy),,,,,,,,{t1:vert;charges:[{charge:crossFourchy;t:or;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Shumundi&population=6105&size=26&seed=5642600450665&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
666,Nozale,Kinumush,Kinumush Barony,Onimydrait,Kingdom of Onimydrait,Yotunn (Giants),Witnesses of Elloragh,village,928,1143.38,735.35,12.35,24.19,7248,55°F,Milan (Italy),,,,,,,,{t1:gules;division:{division:perSaltire;t:argent};charges:[{charge:sun;t:or;p:e;divided:counter;size:1.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=928&name=Nozale&seed=5642600450666&width=1000&height=488&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
667,Rethaladrinn,Ven'tar,Ven'tar County,Ortarith,Duchy of Ortarith,Lothian (Dark Elfish),Witnesses of Elloragh,village,1816,1067.53,503.34,26.34,19.61,210,68°F,Alexandria (Egypt),,,citadel,,,,,{t1:gules;division:{division:perCross;t:or;line:straight};charges:[{charge:pineCone;t:argent;p:e;divided:counter;size:1.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=1816&name=Rethaladrinn&seed=5642600450667&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cuncultivated%2Cno+square%2Cdense
668,Oluch,Shun,Shun County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,town,7439,665.33,564.56,22.65,-4.66,52,72°F,Guangzhou (China),,,,,,,,{t1:azure;ordinaries:[{ordinary:crossParted;t:or;line:straight}];charges:[{charge:wasp;t:sable;p:e;t2:sable;t3:sable;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Oluch&population=7439&size=28&seed=5642600450668&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
669,Abeykor,Albelen,Albelen Shire,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,town,5205,635.37,308.82,38.08,-6.46,210,55°F,Milan (Italy),,,,,,,,{t1:purpure;ordinaries:[{ordinary:pilesInPoint;t:argent}];charges:[{charge:pegasus;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Abeykor&population=5205&size=24&seed=5642600450669&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
670,Gluth,Gluth,Gluth Earldom,Toza,Tozan Empire,Yotunn (Giants),Neverchism,town,7609,293.2,463.51,28.75,-27.11,554,61°F,Dubrovnik (Croatia),,,,,,,,{t1:azure;charges:[{charge:key;t:or;p:jln;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Gluth&population=7609&size=28&seed=5642600450670&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
671,Fakecrest,Iremia,Iremia Landgrave,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,village,1414,316.9,156.62,47.25,-25.68,948,41°F,Harbin (China),,,,,,,,{t1:gules;ordinaries:[{ordinary:cross;t:argent;line:wavy}];charges:[{charge:bridge2;t:azure;p:beh;size:0.3}];shield:fantasy5},https://watabou.github.io/village-generator/?pop=1414&name=Fakecrest&seed=5642600450671&width=1400&height=683&style=snow&tags=dead+end%2Cno+square%2Cdense
672,Pondhilld,Boseden,Boseden Earldom,Grirongria,Duchy of Grirongria,Dail (Human),Neverchism,town,8295,494.62,286.69,39.41,-14.96,472,52°F,Antwerp (Belgium),,,,,,,,{t1:argent;charges:[{charge:earOfWheat;t:azure;p:jln;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Pondhilld&population=8295&size=29&seed=5642600450672&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
673,Nanafethin,Arion,Arion Barony,Onimydrait,Kingdom of Onimydrait,Eldar (Elfish),Witnesses of Elloragh,town,5939,1324.07,607.97,20.03,35.09,5788,54°F,Paris (France),,,,,,,,{t1:or;ordinaries:[{ordinary:orle;t:gules}];charges:[{charge:crossFormee;t:sable;p:e;size:1.1}];shield:noldor},https://watabou.github.io/city-generator/?name=Nanafethin&population=5939&size=25&seed=5642600450673&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
674,Cerghei,Cerghei,Cerghei Barony,Onimydrait,Kingdom of Onimydrait,Lothian (Dark Elfish),Witnesses of Elloragh,town,7583,1328.19,646.67,17.7,35.34,3153,66°F,Marrakesh (Morocco),,,citadel,,,,,{t1:argent;charges:[{charge:hatchet;t:vert;p:e;t2:vert;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Cerghei&population=7583&size=28&seed=5642600450674&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
675,Krigh,Zuzagroz,Zuzagroz Earldom,Bocyurt,Beylik of Bocyurt,Uruk (Orkish),Neverchism,town,4392,702.82,197.67,44.78,-2.39,1312,43°F,Stockholm (Sweden),,,,,,,,{t1:sable;ordinaries:[{ordinary:chevron;t:or}];charges:[{charge:fusil;t:gules;p:ach;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Krigh&population=4392&size=23&seed=5642600450675&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
676,Goldercairn,Thornfone,Thornfone Province,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,town,8385,319.21,255.2,41.31,-25.54,328,50°F,London (England),,,,,plaza,,,{t1:argent;division:{division:perChevron;t:azure;line:rayonne};charges:[{charge:windmill;t:sable;p:dfbh;t2:sable;t3:vert;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Goldercairn&population=8385&size=29&seed=5642600450676&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
677,Dargayangel,Dargayangel,Dargayangel County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Dulandir (Human) Druids,city,10442,1260.54,44.63,54.01,31.26,13,37°F,Tromsø (Norway),,,citadel,,plaza,,,{t1:argent;division:{division:perFess;t:purpure;line:wavy};charges:[{charge:annulet;t:sable;p:k;size:0.7};{charge:caravel;t:or;p:n;size:0.7}];shield:easterling},https://watabou.github.io/city-generator/?name=Dargayangel&population=10442&size=31&seed=5642600450677&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
678,Man Uulgert,Tsogtsogt,Tsogtsogt County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,village,1344,1385.02,240.35,42.2,38.77,2392,41°F,Harbin (China),,,,,,,,{t1:or;charges:[{charge:archer;t:purpure;p:e;t2:purpure;t3:purpure;size:1.5}];shield:easterling},https://watabou.github.io/village-generator/?pop=1344&name=Man+Uulgert&seed=5642600450678&width=1400&height=683&style=snow&tags=dead+end%2Cno+square%2Cdense
679,Boztoprak,Yayabyurt,Yayabyurt County,Bocyurt,Beylik of Bocyurt,Rohand (Human),Neverchism,town,4549,655.13,306.29,38.23,-5.27,397,54°F,Paris (France),,,,,,,,{t1:purpure;division:{division:perBend;t:argent;line:invecked};charges:[{charge:sun;t:or;p:l;size:0.7};{charge:apple;t:azure;p:m;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Boztoprak&population=4549&size=23&seed=5642600450679&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
680,Qhazru,Qhazru,Qhazru Earldom,Toza,Tozan Empire,Arago (Arachnid),Neverchism,town,7816,191.15,363.4,34.78,-33.27,3793,43°F,Stockholm (Sweden),,,,,,,,{t1:or;charges:[{charge:crossAvellane;t:sable;p:e;size:1.5}];shield:horsehead2},https://watabou.github.io/city-generator/?name=Qhazru&population=7816&size=28&seed=5642600450680&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
681,Kalbruz,Lulgor,Lulgor County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,village,1659,463.49,93.98,51.03,-16.83,1184,37°F,Tromsø (Norway),,,,,,,,{t1:masoned-argent-sable;charges:[{charge:lozenge;t:gules;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/village-generator/?pop=1659&name=Kalbruz&seed=5642600450681&width=1600&height=780&style=snow&tags=isolated%2Cno+square%2Cdense
682,Krosulvemene,Ayteli,Ayteli Province,Sazyurt,Republic of Sazyurt,Rake (Drakonic),Rake (Drakonic) Deities,village,1602,1070.18,171.54,46.35,19.77,210,46°F,Prague (Czechia),,,,,,,,{t1:or;ordinaries:[{ordinary:fess;t:azure;line:straight}];charges:[{charge:armEmbowedHoldingSabre;t:azure;p:abcz;t2:gules;t3:gules;size:0.5}];shield:fantasy2},https://watabou.github.io/village-generator/?pop=1602&name=Krosulvemene&seed=5642600450682&width=1600&height=780&style=default&tags=river%2Chighway%2Cfarmland%2Cno+square%2Cdense
683,Balaztepe,Aya,Aya County,Ayazbeyurt,Ayazbeyurt Horde,Rohand (Human),Neverchism,city,11953,411.63,389.25,33.22,-19.96,13,59°F,Rome (Italy),,port,,,plaza,,,{t1:gules;ordinaries:[{ordinary:cross;t:or;line:nebuly}];charges:[{charge:mullet6;t:purpure;p:beh;size:0.3}];shield:round},https://watabou.github.io/city-generator/?name=Balaztepe&population=11953&size=33&seed=5642600450683&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.42
684,Garagzdizad,Lichon,Lichon County,Toza,Tozan Empire,Khazadur (Dwarven),Neverchism,town,5757,242.7,512.94,25.76,-30.16,2759,59°F,Rome (Italy),,,,,,,,{t1:argent;division:{division:perBend;t:purpure;line:straight};charges:[{charge:lanceHead;t:sable;p:l;size:0.7};{charge:falcon;t:or;p:m;size:0.7}];shield:erebor},https://watabou.github.io/city-generator/?name=Garagzdizad&population=5757&size=25&seed=5642600450684&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
685,Ayunt,Ayunt,Ayunt County,Vuyurt,Vuyurt Khaganate,Rohand (Human),Witnesses of Elloragh,city,11336,834.95,178.43,45.94,5.58,210,46°F,Prague (Czechia),,,,,plaza,,,{t1:vair-azure-argent;division:{division:perPale;t:or;line:straight};ordinaries:[{ordinary:pilesInPoint;t:sable}];shield:round},https://watabou.github.io/city-generator/?name=Ayunt&population=11336&size=32&seed=5642600450685&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
686,Qiccidh,Dhul,Dhul County,Vuyurt,Vuyurt Khaganate,Uruk (Orkish),Uruk (Orkish) Pantheon,town,2089,956.95,79.7,51.89,12.94,328,39°F,Reykjavik (Iceland),,,,,plaza,,,{t1:azure;ordinaries:[{ordinary:flaunches;t:argent}];shield:urukHai},https://watabou.github.io/city-generator/?name=Qiccidh&population=2089&size=17&seed=5642600450686&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
687,Balte,Yereveli,Yereveli County,Grirongria,Duchy of Grirongria,Rohand (Human),Neverchism,village,1297,518,302.1,38.48,-13.55,266,54°F,Paris (France),,,citadel,,,,,{t1:palyBendy-azure-or;charges:[{charge:boat;t:argent;p:e;t2:argent;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1297&name=Balte&seed=5642600450687&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
688,Tog On,Tog On,Tog On County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Dulandir (Human) Druids,city,10074,1267.39,50.83,53.63,31.67,13,37°F,Tromsø (Norway),,,citadel,walls,plaza,,,{t1:azure;charges:[{charge:crossClechy;t:or;p:abc;size:0.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Tog+On&population=10074&size=31&seed=5642600450688&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
689,Grasshellde,Dirtspidia,Dirtspidia Prefecture,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,village,1137,282.8,297.67,38.75,-27.74,1063,50°F,London (England),,,,,,,,{t1:argent;charges:[{charge:griffinRampant;t:sable;p:def;t2:sable;t3:gules;size:0.5}];shield:roman},https://watabou.github.io/village-generator/?pop=1137&name=Grasshellde&seed=5642600450689&width=1400&height=683&style=default&tags=highway%2Cfarmland%2Cno+square%2Cdense
690,Saikhan Ug,Algarla,Algarla County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,village,991,1206.46,359.8,35,27.99,210,59°F,Rome (Italy),,,,,,,,{t1:vert;division:{division:perBendSinister;t:argent;line:straight};ordinaries:[{ordinary:pale;t:or;line:rayonne}];shield:easterling},https://watabou.github.io/village-generator/?pop=991&name=Saikhan+Ug&seed=5642600450690&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
691,Drardzir,Azargu,Azargu County,Toza,Tozan Empire,Yotunn (Giants),Neverchism,city,12069,329.02,478.34,27.85,-24.95,472,64°F,Barcelona (Spain),,,citadel,,plaza,,,{t1:azure;charges:[{charge:pot;t:argent;p:jlh;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Drardzir&population=12069&size=33&seed=5642600450691&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
692,Dokuzde,Alkan,Alkan County,Vuyurt,Vuyurt Khaganate,Rohand (Human),Witnesses of Elloragh,village,1689,834.28,132.18,48.73,5.54,840,41°F,Harbin (China),,,citadel,,,,,{t1:azure;charges:[{charge:dragonPassant;t:or;p:def;t2:or;t3:or;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=1689&name=Dokuzde&seed=5642600450692&width=1600&height=780&style=snow&tags=dead+end%2Cno+square%2Cdense
693,Ullemarmel,Ullemarmel,Ullemarmel Barony,Onimydrait,Kingdom of Onimydrait,Eldar (Elfish),Witnesses of Elloragh,town,8456,1280.67,508.48,26.03,32.47,4019,54°F,Paris (France),,,,,,,,{t1:argent;charges:[{charge:cossack;t:vert;p:e;t2:vert;t3:vert;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Ullemarmel&population=8456&size=29&seed=5642600450693&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
694,Nudh,Nudh,Nudh Margrave,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,city,12401,395.19,102.28,50.53,-20.96,643,39°F,Reykjavik (Iceland),,,,walls,,,,{t1:gules;ordinaries:[{ordinary:saltire;t:or;line:straight}];charges:[{charge:lozenge;t:argent;p:abc;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Nudh&population=12401&size=34&seed=5642600450694&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
695,Heartvault,Moonwale,Moonwale County,Staglenia,Kingdom of Staglenia,Dail (Human),Neverchism,town,4258,445.93,256.63,41.22,-17.89,210,52°F,Antwerp (Belgium),,,,,plaza,,,{t1:or;charges:[{charge:bridge;t:vert;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Heartvault&population=4258&size=22&seed=5642600450695&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
696,Hlaughymben,Hlaugref,Hlaugref County,Ortarith,Duchy of Ortarith,Lothian (Dark Elfish),Witnesses of Elloragh,town,2104,1084.1,495.5,26.82,20.61,210,68°F,Alexandria (Egypt),,,,,,,,{t1:azure;ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:hook;t:gules;p:e;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Hlaughymben&population=2104&size=17&seed=5642600450696&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
697,Dizennerg,Shatharb,Shatharb County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,village,1118,501.3,634.64,18.43,-14.55,266,75°F,Dakar (Senegal),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:wavy}];charges:[{charge:lionRampant;t:or;p:beh;t2:or;t3:vert;size:0.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=1118&name=Dizennerg&seed=5642600450697&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
698,Baleddus,Szotie,Szotie County,Toza,Tozan Empire,Khazadur (Dwarven),Khazadur (Dwarven) Deities,town,5492,133.7,747.32,11.63,-36.73,1736,72°F,Guangzhou (China),,,,,,,,{t1:or;charges:[{charge:crossOccitan;t:azure;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Baleddus&population=5492&size=25&seed=5642600450698&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
699,Kekeri,Kekeri,Kekeri County,Ayazbeyurt,Ayazbeyurt Horde,Rohand (Human),Neverchism,city,16373,398.27,389.88,33.19,-20.77,30,61°F,Dubrovnik (Croatia),,port,citadel,walls,plaza,,,{t1:gules;division:{division:perPile;t:or;line:straight};charges:[{charge:ploughshare;t:argent;p:e;divided:counter;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Kekeri&population=16373&size=37&seed=5642600450699&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.81
700,Chubud,Banovakeli,Banovakeli Captaincy,Bocyurt,Beylik of Bocyurt,Uruk (Orkish),Neverchism,village,1035,672.51,213.79,43.81,-4.22,2051,41°F,Harbin (China),,,,walls,,,,{t1:vert;charges:[{charge:cavalier;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:urukHai},https://watabou.github.io/village-generator/?pop=1035&name=Chubud&seed=5642600450700&width=1400&height=683&style=snow&tags=highway%2Cno+square%2Cpalisade%2Cdense
701,Shibal,Unelgerkhia,Unelgerkhia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,town,7480,1305.76,422.51,31.22,33.99,2392,54°F,Paris (France),,,,,,,,{t1:azure;charges:[{charge:fleurDeLis;t:or;p:beh;size:0.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Shibal&population=7480&size=28&seed=5642600450701&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
702,Asla,Banedyurt,Banedyurt Province,Sazyurt,Republic of Sazyurt,Rohand (Human),Old Rohand (Human) Beliefs,town,4901,1037.22,142.26,48.12,17.78,397,43°F,Stockholm (Sweden),,,,,,,,{t1:pally-argent-gules;charges:[{charge:ramHeadErased;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Asla&population=4901&size=24&seed=5642600450702&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
